01/06/2014,Ford,Black,H241227,Illinois,700,S,LAKE SHORE,DR,400,E,MONROE,,Stalled,14-00020939
01/06/2014,Ford,Black,R701793,Illinois,3029,W,42ND,ST,3035,W,42ND STREET,,Water Management,14-00018163
01/06/2014,Ford,Blue,P576712,Illinois,150,N,NB OUTER LAKE SHORE,DR,300,E,LOWER WACKER DRIVE,,Accident,14-00017845
01/06/2014,Ford,Red,P640109,Illinois,1600,N,SB OUTER LAKE SHORE,DR,1648,N,CLARK,,Broken Down,14-00017017
01/06/2014,Ford,Silver,R871284,Illinois,1601,N,NB OUTER LAKE SHORE,DR,1651,N,CLARK,,Broken Down,14-00016529
01/06/2014,Ford,White,162097,Illinois,8110,S,MAY,ST,8001,S,MAY,,Broken Down,14-00016583
01/06/2014,General Motors Corp.,Gray,H886237,Illinois,700,S,LAKE SHORE,DR,300,E,LOWER WACKER DRIVE,,Stalled,14-00020938
01/06/2014,Honda,Black,472BNZ,Oklahoma,328,N,LAKE SHORE,DR,300,E,LOWER WACKER,,Other,14-00017610
01/06/2014,Honda,Black,6UNP101,California,155,S,LAKE SHORE,DR,350,E,WACKER,,Accident,14-00017945
01/06/2014,Honda,Red,Y99740,Illinois,4800,S,LANGLEY,AVE,1300,E,47TH,,Stalled,14-00018242
01/06/2014,Hyundai,Blue,N250297,Illinois,6200,S,MAY,ST,1140,W,62ND STREET,,Broken Down,14-00017719
01/06/2014,Hyundai,White,1286322,Illinois,5600,N,NAGLE,AVE,5530,S,NAGLE,,Stalled,14-00016566
01/06/2014,Jeep (If Mfd. Prior To 1970),Silver,833N171,Illinois,1200,S,MICHIGAN,AVE,800,W,ROOSEVELT,,Stalled,14-00017129
01/06/2014,Kia Motors Corp,Gray,G308900,Illinois,1100,N,NB OUTER LAKE SHORE,DR,1311,N,WELLS,,Broken Down,14-00018311
01/06/2014,Lexus,Blue,8262443,Illinois,5908,N,PAULINA,ST,5905,N,PAULINA,,Other,14-00018298
01/06/2014,Mitsubishi,Green,130784 HCP,Illinois,5806,N,RIDGE,AVE,5612,N,ASHLAND,,Accident,14-00016868
01/06/2014,Nissan,Black,S155236,Illinois,800,N,DAMEN,AVE,2318,N,AUGUSTA,,Stalled,14-00016567
01/06/2014,Nissan,Gray,JTP4159,Virginia,150,N,NB OUTER LAKE SHORE,DR,300,E,LOWER WACKER DRIVE,,Accident,14-00017826
01/06/2014,Pontiac,Black,N753584,Illinois,1440,S,LAKE SHORE,DR,1613,S,WABASH,,Other,14-00017600
01/06/2014,Pontiac,Black,P508866,Illinois,676,W,IRVING PARK,RD,678,W,IRVING,,Other,14-00018787
01/06/2014,Pontiac,Gray,P656619,Illinois,1400,S,LAKE SHORE,DR,1800,S,LAKE SHORE  WEST PARKINGL OT,,Other,14-00017594
01/06/2014,Subaru,Silver,K618032,Illinois,1936,N,HOYNE,AVE,2124,W,,,Water Management,14-00020754
01/06/2014,Suzuki,Black,S375095,Illinois,200,N,NB OUTER LAKE SHORE,DR,350,E,WACKER,,Broken Down,14-00021075
01/06/2014,Toyota,Beige,L542353,Illinois,2000,N,NB OUTER LAKE SHORE,DR,2436,N,CANNON,,Stalled,14-00020236
01/06/2014,Toyota,Black,1771960,Illinois,4238,N,AUSTIN,AVE,4248,N,AUSTIN,,Water Management,14-00016595
01/06/2014,Toyota,Black,4860994,Illinois,1500,S,SB OUTER LAKE SHORE,,44,E,16TH ST,,Stalled,14-00018643
01/06/2014,Toyota,Black,649YRW,Nevada,100,E,31ST,ST,3131,S,MICHIGAN,,Stalled,14-00020409
01/06/2014,Toyota,Black,P853092,Illinois,200,N,SB OUTER LAKE SHORE,DR,500,E,RANDOLPH,,Broken Down,14-00018310
01/06/2014,Toyota,Gray,A753333,Illinois,454,E,46TH,PL,4701,S,VINCENNES,,Stalled,14-00018873
01/06/2014,Toyota,Green,L721264,Illinois,3659,W,87TH,ST,8659,S,LAWNDALE,,Broken Down,14-00019242
01/06/2014,Toyota,Green,P676975,Illinois,6700,S,LAKE SHORE,,6702,S,JEFFERY,,Stalled,14-00020756
01/06/2014,Volkswagen,Black,P119644,Illinois,2239,W,ARGYLE,ST,2250,W,ARGYLE,,Peoples Gas,14-00018739
01/06/2014,Volkswagen,Black,R998304,Illinois,400,E,MCFETRIDGE,DR,400,E,MCFETRIDGE,,Stalled,14-00018644
01/07/2014,,,,,1200,W,88TH,ST,,,,,,14-00025566
01/07/2014,,,,,1880,S,LAKE SHORE,DR,,,,,,14-00026132
01/07/2014,,,,,3111,W,103RD,ST,,,,,,14-00025842
01/07/2014,,,,,6723,S,SOUTH SHORE,DR,,,,,,14-00025885
01/07/2014,,,,,9047,S,ESCANABA,AVE,,,,,,14-00025238
01/07/2014,,,P345944,Illinois,3205,N,LAKE SHORE,DR,3745,N,RECREATION DRIVE,,Accident,14-00025470
01/07/2014,Audi,Black,195R608,Illinois,2922,W,POPE JOHN PAUL II,DR,2922,W,POPE JOHN PAUL 2ND,,Water Management,14-00023350
01/07/2014,Audi,Black,ANF9249,Illinois,4501,S,NB OUTER LAKE SHORE,DR,357,E,LOWER WACKER DRIVE,,Stalled,14-00021165
01/07/2014,Audi,Silver,NOEL 77,Illinois,1800,S,SB OUTER LAKE SHORE,DR,2424,S,WABASH,,Broken Down,14-00021291
01/07/2014,Chevrolet,Black,H593520,Illinois,4222,N,HERMITAGE,AVE,4209,N,HERMITAGE,,Other,14-00022842
01/07/2014,Chevrolet,Black,H701905,Illinois,2400,N,SB OUTER LAKE SHORE,DR,300,E,LOWER WACKER DRIVE,,Stalled,14-00025836
